Name,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,BestPlayers,MfgPlaytime,MfgAgeRec,category
Ab die Post!,1996,1.3333,5.27941,3,6,0,45,8,Family
Excape,1998,1.141,6.34908,3,6,5,30,8,Family
Bucket Brigade,1998,1.2759,6.06204,3,5,0,30,7,Family
Quests of the Round Table,1995,1.8621,5.3813,2,4,0,60,10,misc
Hare & Tortoise,1973,1.9358,6.63082,2,6,4,45,8,Family
Elefantenparade,1988,1.2857,5.77801,2,4,0,20,12,misc
Cat Blues,1998,1.4286,5.9293,2,6,0,30,10,Family
Samarkand,1980,1.9494,6.43141,2,5,0,40,9,Strategy
Tricks,1995,1.4286,5.57517,3,5,0,30,10,misc
Viva Pamplona!,1992,1.38,6.36593,2,6,0,45,8,Family
Overthrone,1999,2.1818,5.32714,3,6,0,90,12,misc
Relationship Tightrope,1999,1.3407,6.16919,3,5,0,30,8,Family
5ive Straight,1958,1.7,6.26404,2,9,0,20,7,Family
Mystery Rummy: Murders in the Rue Morgue,1999,1.7067,6.73344,2,4,0,40,8,Family
Schotten Totten,1999,1.7244,7.32098,2,2,2,20,8,Family
Wrott & Swindlers,1995,1.8,6.5625,3,6,0,90,0,misc
Colorado County,1998,2.4706,6.14746,2,4,0,60,10,misc
6 Billion,1999,2.6875,5.34493,2,5,0,120,12,Strategy
DruidenWalzer,1999,2.3875,5.88446,2,2,0,45,12,misc
Lancashire Railways,1998,3.1429,6.94087,3,6,0,120,12,Strategy
Express,1990,1.6757,6.19882,2,6,0,60,8,Family
Polarity,1986,1.6786,6.36459,2,4,0,20,8,Abstract
X Pasch,1996,2.5,6.25,3,6,0,90,8,misc
Heimlich & Co.,1984,1.485,6.44352,2,7,4,30,8,Family
Turf Horse Racing,1995,1.8,6.45224,3,6,0,60,10,Family
TurfMaster,1998,1.9579,7.24498,2,8,8,75,10,misc
Pirateer,1978,1.4783,5.53245,2,4,0,15,8,Family
Corruption,2000,1.8276,5.81656,3,7,0,45,10,misc
Finale,1998,1.8611,5.7502,2,2,0,30,12,Family
Die Mauer,1997,1.2917,6.05232,3,6,0,30,8,misc
Ocean,1999,1.0,4.77083,2,6,0,20,8,misc
Brawl,1999,1.3694,6.36154,2,7,0,15,10,misc
Dinosaurs of the Lost World,1987,1.8889,6.60971,1,4,0,90,8,Family
Kahuna,1998,2.0541,6.6242,2,2,2,40,10,Abstract
Der dreizehnte Holzwurm,1998,1.2308,6.00664,2,6,0,45,8,misc
Diskwars,1999,2.3958,5.94082,2,8,0,90,10,CGS
Wildlife Safari,1994,1.2945,6.64268,2,5,4,30,7,Family
Tom Clancy's Politika,1997,2.7368,4.24552,2,8,0,90,12,Strategy
Shanghai,1997,1.7,5.33028,3,6,0,30,12,misc
Gold Connection,1992,1.8182,6.44645,2,4,0,60,10,misc
Elk Fest,1999,1.0497,6.15421,2,2,0,15,8,Family
Worm Up!,1994,1.0976,5.86063,3,5,0,20,7,misc
Meteo,1989,2.3,5.49653,2,4,0,90,10,misc
Zoon,1999,1.5714,5.50249,2,2,0,30,8,misc
Dschungel,1999,1.75,4.82031,2,4,0,30,10,misc
D'raf,1997,1.75,5.97525,3,5,0,45,11,misc
Yukon Company,1999,3.0,6.20909,4,6,0,120,10,misc
Die Erben von Hoax,1999,2.1538,6.04029,3,8,0,45,12,misc
Around the World in 80 Days,1986,1.64,5.9991,2,6,0,60,10,Family
Espresso,1995,1.0,6.16667,2,6,0,60,6,misc
A to Z,1992,1.5,6.09537,2,4,0,30,9,Party
Edison & Co.,1998,2.0333,4.46997,2,4,0,45,12,misc
Rail Baron,1977,2.2619,6.58867,3,6,0,240,10,Strategy
1830: Railways & Robber Barons,1986,4.1642,7.86873,2,7,5,360,14,Strategy
1835,1990,3.9896,7.05009,3,7,0,360,16,Strategy
1856: Railroading in Upper Canada from 1856,1995,4.2485,7.51252,3,6,4,300,14,Strategy
1870: Railroading across the Trans Mississippi from 1870,1992,4.1825,7.43449,2,6,0,360,14,Strategy
Thunder's Edge,1999,3.125,6.16401,3,5,0,300,12,War
The Battle of the Bulge,1981,2.9149,6.56553,2,2,0,120,12,War
Grass,1980,1.5596,5.97078,2,6,0,60,18,misc
Galopp Royal,1995,1.6471,5.89167,3,6,0,45,9,misc
Magalon,1998,1.8947,5.87436,2,4,0,60,12,misc
Asterix: Das Kartenspiel,1990,1.1429,5.96863,2,5,0,30,8,misc
Alhambra: The Card Game,1992,1.7234,6.44042,2,6,0,45,10,Family
6 nimmt!,1994,1.2053,6.92892,2,10,5,45,8,Family
Shark,1987,2.2143,6.63678,2,6,0,90,12,Strategy
Yucata',1996,1.7059,5.7719,2,4,0,30,9,Abstract
Canyon,1997,1.5775,6.2503,3,6,0,45,10,Family
Master Labyrinth,1991,1.7938,6.29365,2,4,2,30,10,Family
Scotland Yard,1983,1.9547,6.51192,3,6,5,45,10,Family
Zoff in Buffalo,1998,2.0323,6.38601,2,5,0,45,12,misc
Filthy Rich,1998,1.9,6.38758,2,5,0,60,14,misc
Um Reifenbreite,1979,1.9591,6.80103,2,4,4,90,8,misc
Code 777,1985,2.322,6.72068,2,5,4,60,10,misc
Escape from the Hidden Castle,1989,1.135,6.32103,2,8,0,30,8,misc
Die Osterinsel,1994,1.6,5.78564,3,4,0,30,10,misc
Avalanche,1965,1.2,5.70484,2,6,0,30,8,Abstract
The Great Balloon Race,1991,1.35,6.15643,2,8,0,30,7,Family
Octi,1999,3.2609,6.72365,2,4,0,30,8,Abstract
Beutelschneider,1997,1.5,5.8925,3,4,0,30,0,misc
Mummy Rummy,1994,1.2,5.07579,2,5,0,30,8,misc
Tante Tarantel,1991,1.2143,6.18419,3,5,0,30,10,Childrens
Am Fuß des Kilimandscharo,1995,1.2,5.67,2,4,0,45,7,Family
Jumbo Grand Prix,1998,1.4,5.87424,2,5,0,30,8,Family
Sherlock Holmes: The Card Game,1991,1.4902,6.20354,3,8,0,60,10,Thematic
